IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd
1,33.5862,318.534,1,0,1,14,7,140,9,211.214,213.643,212,62.4982,62.8034,62.6766
1,430.5,287,1,0,1,26,3,56,192,240.231,233.154,149.154,3.80532,3.78309,3.9048
1,447.5,276,1,0,1,26,3,54,190,238.923,231.346,145.846,4.73057,4.69971,4.48284
1,415,253,1,0,1,29,4,54,159,223.793,213.103,121.897,5.57414,5.72225,5.71494
1,68.5,246,1,0,1,43,6,120,1,121.14,122,120.791,104.768,105.268,104.518
1,727.75,243.75,1,0,1,104,6,52,193,228.923,208.779,67.0865,7.2829,7.03986,15.7545
1,695.5,232.5,1,0,1,12,2,52,191,233.667,219,108.333,3.98142,4.05505,4.27448
1,207.5,230.5,1,0,1,27,3,46,82,174.222,155.481,96.9259,21.4855,22.3305,44.8355
1,89.7308,212.654,1,0,1,40,6,120,1,132.35,132.925,132.25,120.47,120.884,120.477
1,853.165,189.859,1,0,1,65,10,68,42,235.585,237.231,230.446,11.3044,10.9842,11.0077
1,657,174,1,0,1,29,4,52,201,229.552,202.724,44.7586,2.90437,2.72,3.44463
1,140.75,150.75,1,0,1,97,14,60,1,113.928,114.351,113.474,120.815,121.101,120.399
1,599,18.5,1,0,1,35,4,60,109,252.829,252.886,250.314,5.74182,5.68293,5.90348
